"name","current employee estimate","city","state"
"maxim gorki theater",29,"berlin","berlin"
"ströer media brands ag",29,"berlin","berlin"
"meetrics",29,"berlin","berlin"
"urban sports gmbh",29,"berlin","berlin"
"proveg international",29,"berlin","berlin"
"cops",29,"berlin","berlin"
"global founders capital",29,"berlin","berlin"
"pd - berater der öffentlichen hand gmbh",29,"berlin","berlin"
"deutsche energie-agentur gmbh dena",29,"berlin","berlin"
"vlb berlin",29,"berlin","berlin"
"db bahnbau gruppe gmbh",29,"berlin","berlin"
"magforce ag",29,"berlin","berlin"
"ifs - international featured standards",29,"berlin","berlin"
"jovoto",29,"berlin","berlin"
"berliner zeitung",29,"berlin","berlin"
"rethink gmbh",29,"berlin","berlin"
"myphotobook gmbh",29,"berlin","berlin"
"campanda gmbh",29,"berlin","berlin"
"evangelisches johannesstift",29,"berlin","berlin"
"unfallkrankenhaus berlin",29,"berlin","berlin"
"probiogen ag",29,"berlin","berlin"
"nestpick",29,"berlin","berlin"
"mobilejobs gmbh",29,"berlin","berlin"
"crumpler",29,"berlin","berlin"
"concise software",29,"berlin","berlin"
"raue llp",29,"berlin","berlin"
"berlin cosmopolitan school",28,"berlin","berlin"
"aerticket ag",28,"berlin","berlin"
"sparda-bank berlin eg",28,"berlin","berlin"
"paul gerhardt diakonie",28,"berlin","berlin"
"vimcar",28,"berlin","berlin"
"target global",28,"berlin","berlin"
"jodel",28,"berlin","berlin"
"gestalten",28,"berlin","berlin"
"lisk",28,"berlin","berlin"
"klara",28,"berlin","berlin"
"ldb gruppe",28,"berlin","berlin"
"newsletter2go",28,"berlin","berlin"
"impossible b.v.",28,"berlin","berlin"
"bündnis 90/die grünen",28,"berlin","berlin"
"bundeswehr (german federal armed forces)",28,"berlin","berlin"
"aristo pharma gmbh",28,"berlin","berlin"
"kloeckner.i gmbh",28,"berlin","berlin"
"da vinci media gmbh",28,"berlin","berlin"
"mimi hearing technologies gmbh",28,"berlin","berlin"
"berlin school of creative leadership",28,"berlin","berlin"
"urbanara",28,"berlin","berlin"
"somewhere.com, llc",28,"berlin","berlin"
"system one",28,"berlin","berlin"
"fluffy fairy games",27,"berlin","berlin"
"transa spedition gmbh",27,"berlin","berlin"
"travel charme hotels & resorts",27,"berlin","berlin"
"plinga gmbh",27,"berlin","berlin"
"legal one gmbh",27,"berlin","berlin"
"cmc-kuhnke",27,"berlin","berlin"
"streetfootballworld ggmbh",27,"berlin","berlin"
"agile42",27,"berlin","berlin"
"dai-labor",27,"berlin","berlin"
"global public policy institute (gppi)",27,"berlin","berlin"
"rent24 gmbh",27,"berlin","berlin"
"takeda pharma vertrieb gmbh & co. kg",27,"berlin","berlin"
"not applicable -- n/a",27,"berlin","berlin"
"vnc - virtual network consult gmbh",27,"berlin","berlin"
"idagio",27,"berlin","berlin"
"lieferando.de",27,"berlin","berlin"
"minodes",27,"berlin","berlin"
"stoyo",27,"berlin","berlin"
"ecosia",27,"berlin","berlin"
"allpago - accept payments in latin america",27,"berlin","berlin"
"fiagon",26,"berlin","berlin"
"pamono",26,"berlin","berlin"
"waldorf astoria berlin",26,"berlin","berlin"
"maycoach & co.",26,"berlin","berlin"
"atene kom gmbh",26,"berlin","berlin"
"plunet - translation management systems",26,"berlin","berlin"
"bmp",26,"berlin","berlin"
"mesago messe frankfurt gmbh",26,"berlin","berlin"
"klopotek",26,"berlin","berlin"
"networkedassets",26,"berlin","berlin"
"tink gmbh",26,"berlin","berlin"
"renewables academy (renac)",26,"berlin","berlin"
"acatech - deutsche akademie der technikwissenschaften",26,"berlin","berlin"
"honeypot.io",26,"berlin","berlin"
"pace aerospace engineering & information technology gmbh",26,"berlin","berlin"
"sparwelt gmbh - ein unternehmen der mediengruppe rtl deutschland",26,"berlin","berlin"
"argus data insights® deutschland gmbh",26,"berlin","berlin"
"finanzen.de ag",26,"berlin","berlin"
"leverate media gmbh",26,"berlin","berlin"
"promos consult projektmanagement, organisation und service gmbh",26,"berlin","berlin"
"iges institut gmbh",26,"berlin","berlin"
"paparazzi",26,"berlin","berlin"
"btk hochschule für gestaltung",26,"berlin","berlin"
"tausendkind gmbh",26,"berlin","berlin"
"m&c saatchi berlin",26,"berlin","berlin"
"conichi",26,"berlin","berlin"
"text&form",26,"berlin","berlin"
"heartbeat labs gmbh",26,"berlin","berlin"
"zizoo",26,"berlin","berlin"
"elinvar.de",26,"berlin","berlin"
"zenguard gmbh",26,"berlin","berlin"
"liqid",26,"berlin","berlin"
"crosslend gmbh",25,"berlin","berlin"
"the document foundation",25,"berlin","berlin"
"seven lanes",25,"berlin","berlin"
"yeay",25,"berlin","berlin"
"kw-commerce gmbh",25,"berlin","berlin"
"xpt software",25,"berlin","berlin"
"analyze & realize gmbh",25,"berlin","berlin"
"bigchaindb",25,"berlin","berlin"
"steinbeis school of management and innovation",25,"berlin","berlin"
